Vietnam,Viet Nam
Venezula,Venezuela (Bolivarian Republic of)
Tanzania,United Republic of Tanzania
Syria,Syrian Arab Republic
S. Sudan,South Sudan
Solomon Is.,Solomon Islands
South Korea,Republic of Korea
Laos,Lao People\'s Democratic Republic
Iran,Iran (Islamic Republic of)
eSwatini,Eswatini
Eq. Guinea,Equatorial Guinea
Dominican Rep.,Dominican Republic
Dem. Rep. Congo,Democratic Republic of the Congo
North Korea,Democratic People\'s Republic of Korea
Central African Rep.,Central African Republic
Bolivia,Bolivia (Plurinational State of)